# NASA Exoplanet Archive PSCompPars snapshot (shipped with the release)
# fetched: 2026-08-09T19:15:07Z
# endpoint: https://exoplanetarchive.ipac.caltech.edu/TAP/sync
# query: select pl_name,st_spectype,st_teff,st_logg,st_met,st_metratio,st_rad,sy_kmag,pl_radj,pl_bmassj,pl_bmassprov,pl_orbsmax,pl_trandur from pscomppars where tran_flag=1 and st_teff is not null and st_rad is not null and pl_radj is not null and pl_orbsmax is not null order by pl_name
# rows: 4355
pl_name,st_spectype,st_teff,st_logg,st_met,st_metratio,st_rad,sy_kmag,pl_radj,pl_bmassj,pl_bmassprov,pl_orbsmax,pl_trandur
55 Cnc e,G8 V,5172.00,4.430000,0.3500,[Fe/H],0.943000,4.0150000,0.16727630,0.02513923,Mass,0.0154400000,1.5439000
AU Mic b,M1 V,3540.00,4.370000,0.0100,[Fe/H],0.862000,4.5290000,0.42733591,0.02828570,Mass,0.0700000000,3.2400000
AU Mic c,M1 V,3540.00,4.370000,0.0100,[Fe/H],0.862000,4.5290000,0.24890756,0.04549625,Mass,0.1190000000,4.2900000
BD+20 594 b,G,5766.00,4.500000,-0.1500,[Fe/H],1.080000,9.3680000,0.23000000,0.07000000,Mass,0.2410000000,
BD-14 3065 b,,6935.00,3.850000,-0.3400,[Fe/H],2.350000,9.9320000,1.92600000,12.37000000,Mass,0.0656000000,3.0860000
CoRoT-1 b,G0 V,5950.00,4.250000,-0.3000,[M/H],1.110000,12.1490000,1.49000000,1.03000000,Mass,0.0275200000,2.3730000
CoRoT-10 b,K1 V,5075.00,4.650000,0.2600,[Fe/H],0.790000,11.7820000,0.97000000,2.75000000,Mass,0.1055000000,2.9800000
CoRoT-11 b,F6 V,6440.00,4.220000,-0.0300,[Fe/H],1.370000,11.2480000,1.43000000,2.33000000,Mass,0.0436000000,2.5009000
CoRoT-12 b,,5675.00,4.375000,0.1600,[Fe/H],1.116000,13.5570000,1.44000000,0.91700000,Mass,0.0401600000,2.5742400
CoRoT-13 b,G0 V,5945.00,4.460000,0.0100,[Fe/H],1.010000,13.3760000,0.88500000,1.30800000,Mass,0.0510000000,3.1400000
CoRoT-14 b,F9 V,6035.00,4.350000,0.0500,[Fe/H],1.210000,13.8060000,1.09000000,7.60000000,Mass,0.0270000000,1.6620000
CoRoT-16 b,G5 V,5650.00,4.360000,0.1900,[M/H],1.190000,12.8470000,1.17000000,0.53500000,Mass,0.0618000000,2.3900000
CoRoT-17 b,G2 V,5740.00,4.400000,0.0000,[Fe/H],1.590000,12.4720000,1.02000000,2.43000000,Mass,0.0461000000,4.7200100
CoRoT-18 b,G9 V,5440.00,4.400000,-0.1000,[Fe/H],1.000000,13.0140000,1.31000000,3.47000000,Mass,0.0295000000,2.3870000
CoRoT-19 b,F9 V,6090.00,4.070000,-0.0200,[Fe/H],1.650000,11.8370000,1.29000000,1.11000000,Mass,0.0518000000,4.7000000
CoRoT-2 b,,5625.00,4.530000,0.0400,[Fe/H],0.906000,10.3100000,1.46600000,3.47000000,Mass,0.0279800000,2.2670400
CoRoT-20 b,G2 V,5880.00,4.350000,0.1400,,1.020000,12.5130000,0.84000000,4.30000000,Mass,0.0900000000,2.2248000
CoRoT-21 b,F8 IV,6200.00,3.700000,0.0000,[Fe/H],1.950000,13.8130000,1.30000000,2.26000000,Mass,0.0417000000,4.7600000
CoRoT-22 b,G3 V,5939.00,4.361000,0.1700,[Fe/H],1.136000,11.9880000,0.43500000,0.03800000,Mass,0.0920000000,4.4920000
CoRoT-23 b,G0 V,5900.00,4.300000,0.0500,[Fe/H],1.610000,12.3640000,1.05000000,2.80000000,Mass,0.0480000000,3.8880000
CoRoT-24 b,K1 V,4950.00,4.550000,0.3000,[Fe/H],0.860000,12.9240000,0.33000000,0.01800000,Mass,0.0560000000,2.8500000
CoRoT-24 c,K1 V,4950.00,4.550000,0.3000,[Fe/H],0.860000,12.9240000,0.44000000,0.08800000,Mass,0.0980000000,4.8000000
CoRoT-25 b,F9,6040.00,4.310000,-0.0100,[Fe/H],1.190000,12.8460000,1.08000000,0.27000000,Mass,0.0578000000,1.9200000
CoRoT-26 b,G5,5590.00,3.990000,0.0100,[Fe/H],1.790000,13.2610000,1.26000000,0.52000000,Mass,0.0526000000,5.4700000
CoRoT-27 b,G2,5900.00,4.400000,-0.1000,[M/H],1.080000,12.9850000,1.00700000,10.39000000,Mass,0.0476000000,2.7700000
CoRoT-28 b,G8/9 IV,5150.00,3.600000,0.1500,[Fe/H],1.780000,11.0320000,0.95500000,0.48400000,Mass,0.0603000000,5.7000000
CoRoT-29 b,K0 V,5260.00,4.300000,0.2000,[Fe/H],0.900000,13.0480000,0.90000000,0.85000000,Mass,0.0386000000,2.1900000
CoRoT-3 b,F3 V,6740.00,4.220000,0.1400,[Fe/H],1.560000,11.6180000,1.01000000,21.66000000,Mass,0.0578300000,3.3840000
CoRoT-30 b,G3 V,5650.00,4.400000,0.0200,[Fe/H],0.910000,13.5620000,1.00900000,2.90000000,Mass,0.0844000000,
CoRoT-31 b,G2 IV,5700.00,3.850000,0.0000,[Fe/H],2.150000,13.4260000,1.46000000,0.84000000,Mass,0.0586000000,
CoRoT-32 b,G0 VI,5970.00,4.670000,0.0000,[Fe/H],0.790000,12.1930000,0.57000000,0.15000000,Mass,0.0710000000,2.4960000
CoRoT-35 b,F6 V,6390.00,4.010000,-0.5000,[Fe/H],1.650000,12.9350000,1.68000000,1.10000000,Mass,0.0429000000,4.1900000
CoRoT-36 b,F3 V,6730.00,4.160000,-0.1000,[Fe/H],1.520000,11.5920000,1.41000000,0.68000000,Mass,0.0660000000,4.9800000
CoRoT-4 b,,6190.00,4.410000,0.0500,,1.170000,12.2880000,1.19000000,0.72000000,Mass,0.0900000000,4.4317333
CoRoT-5 b,F9 V,6100.00,4.190000,-0.2500,[M/H],1.186000,12.5460000,1.38800000,0.46700000,Mass,0.0494700000,2.9331124
CoRoT-6 b,F9 V,6090.00,4.430000,-0.2000,[Fe/H],1.025000,12.1190000,1.16600000,2.96000000,Mass,0.0855000000,4.0800000
CoRoT-7 b,G9 V,5275.00,4.500000,0.0500,[Fe/H],0.830000,9.8060000,0.15000000,0.01282637,Mass,0.0170160000,1.0590000
CoRoT-8 b,K1 V,5080.00,4.580000,0.3000,[M/H],0.770000,11.4630000,0.57000000,0.22000000,Mass,0.0630000000,2.7400000
CoRoT-9 b,G3 V,5625.00,4.540000,-0.0100,[Fe/H],0.960000,11.6880000,1.06600000,0.84000000,Mass,0.4021000000,8.2680000
EPIC 201170410.02,,3648.00,4.999000,-0.0480,[Fe/H],0.282000,12.6190000,0.09340708,0.00360000,M-R relationship,0.0349000000,
